縣市別,行政區,街道名稱及範圍,路寬(m),臨街關係,用途類別,構造種類,建築完成年月,移轉日期,總樓層數,移轉層數,土地使用分區,移轉土地面積(坪),移轉房屋面積(坪),總價(萬元),單價(萬元/坪)
桃園縣,桃園市,力行路-力行路1至50號,15,臨街地,辦公商業大樓,鋼筋混凝土造,０８００４,100年04月,16,13,商業區,3.81,46.33,500,10.79
桃園縣,桃園市,力行路-中正五街至愛一街之間,15,臨街地,透天住宅,鋼筋混凝土造,０６９０１,089年01月,4,全,住宅區,29.64,92.17,2400,26.04
桃園縣,桃園市,力行路-中正五街與愛二街之間,15,臨街地,住宅大樓,鋼筋混凝土造,０８３０７,097年07月,15,12,住宅區,4.15,43.80,353,8.06
桃園縣,桃園市,力行路-中正路與中正五街之間,15,臨街地,透天住宅,鋼筋混凝土造,０６９１１,091年04月,4,全,住宅區,29.64,94.74,1750,18.47
桃園縣,桃園市,力行路-中正路與長春路之間,15,臨街地,住宅大樓,鋼筋混凝土造,０８００４,098年07月,16,5,商業區,9.59,174.35,1600,9.18
桃園縣,桃園市,力行路-埔新路與中正路之間,15,臨街地,辦公商業大樓,鋼筋混凝土造,０８００４,094年04月,16,9,商業區,5.96,60.29,500,8.29
桃園縣,桃園市,力行路-埔新路與中正路之間,15,臨街地,辦公商業大樓,鋼筋混凝土造,０８００４,094年04月,16,9,商業區,3.81,46.31,400,8.64
桃園縣,桃園市,力行路-愛一街與愛二街間,15,臨街地,公寓,鋼筋混凝土造,０６９０９,096年04月,5,全,住宅區,42.65,138.80,1800,12.97
桃園縣,桃園市,三元街-大有路新光三越右側,10,裡地,透天住宅,加強磚造,０７６０６,094年01月,2,全,住宅區,37.93,44.02,680,15.45
桃園縣,桃園市,三元街-大有路新光三越右側,10,裡地,透天住宅,加強磚造,０７６０６,094年01月,2,全,住宅區,22.27,34.84,430,12.34
桃園縣,桃園市,三元街-大有路與民光東路之間,12,裡地,華廈,鋼筋混凝土造,０８３１０,100年01月,7,7,住宅區,3.52,35.68,255,7.15
桃園縣,桃園市,三元街-大有路與民有九街間,8,裡地,透天住宅,加強磚造,０７６０６,096年12月,2,全,住宅區,23.53,37.68,500,13.27
桃園縣,桃園市,三元街-民有七街與民有八街之間,9,裡地,透天住宅,鋼筋混凝土造,０９３０２,094年07月,4,全,住宅區,23.06,58.00,720,12.41
桃園縣,桃園市,三元街-民有八街與民有九街間,11,裡地,透天住宅,加強磚造,０７６０６,096年01月,2,全,住宅區,22.22,34.84,510,14.64
桃園縣,桃園市,三民路1段-三民路1段51至100號,30,臨街地,住宅大樓,鋼筋混凝土造,０８４０５,100年04月,16,4,住宅區,3.52,33.45,310,9.27
桃園縣,桃園市,三民路1段-中山東路與成功路2段之間,30,臨街地,透天住宅,鋼筋混凝土造,０６６０７,097年01月,4,全,住宅區,23.29,61.92,950,15.34
