縣市別,行政區,街道名稱及範圍,路寬(m),臨街關係,用途類別,構造種類,建築完成年月,移轉日期,總樓層數,移轉層數,土地使用分區,移轉土地面積(坪),移轉房屋面積(坪),總價(萬元),單價(萬元/坪)
宜蘭縣,三星鄉,11號計畫道路-三星國中附近,8,裡地,透天住宅,鋼筋混凝土造,０９４０２,094年01月,3,全,住宅區,28.47,57.97,388,6.69
宜蘭縣,三星鄉,三星路1段101巷-三星路1段與廣興大橋間,6,裡地,透天住宅,鋼筋混凝土造,０８２０６,098年07月,3,全,甲種建築用地,29.58,46.66,295,6.32
宜蘭縣,三星鄉,三星路1段87巷-廣興大橋附近,3,裡地,農舍,鋼筋混凝土造,０９６０１,099年04月,3,全,農牧用地,549.64,99.19,1050,10.59
宜蘭縣,三星鄉,三星路1段-大隱社區活動中心附近,15,裡地,透天住宅,加強磚造,０７１０５,095年01月,2,全,甲種建築用地,34.48,33.29,300,9.01
宜蘭縣,三星鄉,三星路1段-大隱社區活動中心附近,15,裡地,透天住宅,加強磚造,０７１０５,095年01月,2,全,甲種建築用地,20.57,29.59,270,9.12
宜蘭縣,三星鄉,三星路1段-大隱國小附近,15,裡地,透天住宅,鋼筋混凝土造,０８３０２,094年12月,3,全,甲種建築用地,29.23,54.09,350,6.47
宜蘭縣,三星鄉,三星路1段-中油大埔站附近,15,臨街地,透天住宅,鋼筋混凝土造,０９００４,097年07月,3,全,甲種建築用地,27.10,54.07,500,9.25
宜蘭縣,三星鄉,三星路1段-湧泉公園附近,15,裡地,透天住宅,鋼筋混凝土造,０８５０８,094年12月,3,全,甲種建築用地,21.78,52.20,320,6.13
宜蘭縣,三星鄉,三星路1段-廣興大橋附近,15,裡地,透天住宅,鋼筋混凝土造,０８４０１,097年07月,3,全,甲種建築用地,30.70,54.36,360,6.62
宜蘭縣,三星鄉,三星路3段293巷-上將路3段與萬富圳幹線第4支線排水間,6,裡地,透天住宅,鋼造,０８３０７,098年07月,1,全,甲種建築用地,235.95,118.32,940,7.94
宜蘭縣,三星鄉,三星路3段-宜蘭監獄附近,15,裡地,透天住宅,鋼筋混凝土造,０９００４,097年12月,3,全,甲種建築用地,28.43,55.52,380,6.84
宜蘭縣,三星鄉,三星路3段-宜蘭監獄附近,15,臨街地,透天住宅,鋼筋混凝土造,０８５０２,098年04月,4,全,甲種建築用地,19.06,53.77,288,5.36
宜蘭縣,三星鄉,三星路4段-三星分局附近,15,臨街地,透天住宅,加強磚造,０６１０１,098年04月,2,全,商業區,22.31,36.06,450,12.48
宜蘭縣,三星鄉,三星路4段-三星加油站附近,15,裡地,透天住宅,加強磚造,０６９１１,095年12月,2,全,住宅區,24.93,34.05,255,7.49
宜蘭縣,三星鄉,三星路4段-三星加油站附近,15,裡地,透天住宅,加強磚造,０７０１０,097年01月,2,全,住宅區,27.05,30.47,250,8.20
宜蘭縣,三星鄉,三星路4段-三星加油站附近,15,臨街地,透天住宅,鋼筋混凝土造,０８７０４,097年01月,3,全,住宅區,25.73,56.31,510,9.06
宜蘭縣,三星鄉,三星路4段-三星國中附近,15,臨街地,透天住宅,鋼筋混凝土加強磚造,０７９０８,095年01月,2,全,住宅區,34.39,45.03,350,7.77
宜蘭縣,三星鄉,三星路4段-位於三星鄉公所附近,15,裡地,透天住宅,加強磚造,０７０１０,093年04月,2,全,住宅區,60.20,41.74,355,8.51
宜蘭縣,三星鄉,三星路4段-位於三星鄉公所附近,15,裡地,透天住宅,加強磚造,０７００９,093年04月,3,全,住宅區,30.34,32.74,200,6.11
宜蘭縣,三星鄉,三星路5段-三星國小附近,15,裡地,透天住宅,鋼筋混凝土造,０９６１０,097年01月,3,全,住宅區,31.79,42.82,438,10.23
宜蘭縣,三星鄉,三星路5段-三星國小對面,15,裡地,透天住宅,鋼筋混凝土造,０８２１２,093年12月,4,全,商業區,30.47,68.59,430,6.27
宜蘭縣,三星鄉,三星路5段-三星路5段250號至300號間,15,臨街地,住宅區,磚造,０６９１２,100年12月,1,全,透天住宅,16.91,16.52,100,6.05
宜蘭縣,三星鄉,三星路6段-保安宮附近,15,臨街地,透天住宅,鋼筋混凝土造,０８３１１,097年07月,3,全,甲種建築用地,23.90,43.20,270,6.25
宜蘭縣,三星鄉,上將路1段-宜蘭教養院附近,15,裡地,透天住宅,鋼筋混凝土造,０８４０６,095年04月,4,全,甲種建築用地,27.95,67.98,420,6.18
宜蘭縣,三星鄉,上將路2段-內政部宜蘭教養院附近,12,臨街地,透天住宅,鋼筋混凝土造,０８５０２,101年01月,3,全,甲種建築用地,22.38,49.99,380,7.60
宜蘭縣,三星鄉,上將路2段-宜蘭教養院附近,11,裡地,透天住宅,鋼筋混凝土造,０８４０６,097年12月,4,全,甲種建築用地,29.31,68.39,410,6.00
宜蘭縣,三星鄉,上將路2段-宜蘭教養院附近,9,裡地,透天住宅,鋼筋混凝土造,０９００７,098年04月,4,全,甲種建築用地,29.54,60.29,382,6.34
宜蘭縣,三星鄉,上將路2段-宜蘭教養院附近,12,臨街地,透天住宅,鋼筋混凝土加強磚造,０６９０８,098年10月,2,全,甲種建築用地,26.62,36.86,300,8.14
宜蘭縣,三星鄉,上將路3段-大義社區活動中心附近,15,臨街地,透天住宅,鋼筋混凝土造,０８４０８,094年12月,5,全,甲種建築用地,25.71,58.91,390,6.62
宜蘭縣,三星鄉,上將路3段-大義活動中心附近,15,裡地,農舍,鋼筋混凝土造,０９７０６,097年07月,3,全,農牧用地,265.29,79.90,900,11.26
宜蘭縣,三星鄉,上將路3段-大義活動中心附近,12,臨街地,透天住宅,鋼筋混凝土造,０８４０８,100年01月,5,全,甲種建築用地,25.71,58.91,380,6.45
宜蘭縣,三星鄉,上將路3段-宜26-2與南北幹路一間,20,臨街地,農舍,鋼筋混凝土造,０９９０８,100年07月,3,全,農牧用地,228.92,75.42,928,12.30
宜蘭縣,三星鄉,上將路3段-東西二路與上將路3段間,6,裡地,透天住宅,鋼筋混凝土造,１０００４,100年04月,3,全,甲種建築用地,26.62,46.55,400,8.59
宜蘭縣,三星鄉,上將路3段-東西二路與上將路3段間,6,裡地,透天住宅,鋼筋混凝土造,１０００４,100年07月,3,全,甲種建築用地,27.22,46.55,405,8.70
宜蘭縣,三星鄉,上將路5段-萬富國小附近,9,臨街地,農舍,鋼筋混凝土造,０９５１０,097年07月,3,全,農牧用地,232.32,78.59,950,12.09
宜蘭縣,三星鄉,上將路-宜蘭教養院附近,15,裡地,透天住宅,鋼筋混凝土加強磚造,０６９０８,094年07月,2,全,甲種建築用地,42.05,31.92,220,6.89
宜蘭縣,三星鄉,大坑路-宜蘭監獄附近,8,裡地,透天住宅,鋼筋混凝土造,０９６０８,098年07月,3,全,甲種建築用地,27.60,44.88,360,8.02
宜蘭縣,三星鄉,大坑路-宜蘭監獄附近,8,裡地,透天住宅,鋼筋混凝土造,０９６０８,098年07月,3,全,甲種建築用地,29.15,45.41,320,7.05
宜蘭縣,三星鄉,大洲路26之35號-南北九路與南北十路間,8,裡地,透天住宅,鋼筋混凝土造,０９００７,100年04月,4,全,甲種建築用地,29.54,60.29,480,7.96
宜蘭縣,三星鄉,大洲路-上將路2段與尾塹路間,5,臨街地,甲種建築用地,鋼筋混凝土加強磚造,０６９１１,100年12月,2,全,透天住宅,31.76,35.86,212,5.91
宜蘭縣,三星鄉,大洲路-尾塹路與南北十路間,8,裡地,甲種建築用地,鋼筋混凝土造,０８６１１,100年12月,4,全,透天住宅,30.07,59.99,500,8.33
宜蘭縣,三星鄉,大洲路-宜蘭教養院附近,7,臨街地,透天住宅,鋼筋混凝土造,０９００７,099年04月,4,全,甲種建築用地,27.06,61.15,380,6.21
宜蘭縣,三星鄉,大埔六路31巷-大隱社區活動中心附近,7,裡地,甲種建築用地,鋼筋混凝土造,０８３０５,100年12月,3,全,透天住宅,31.76,48.12,326,6.77
宜蘭縣,三星鄉,大埔路-三星路1段與安農溪之間,8,臨街地,透天住宅,鋼筋混凝土造,０９５０６,098年10月,3,全,農牧用地,426.22,82.46,1280,15.52
宜蘭縣,三星鄉,大埔路-大隱國小附近,10,臨街地,透天住宅,鋼筋混凝土造,０８５０４,096年01月,3,全,甲種建築用地,31.76,57.48,350,6.09
宜蘭縣,三星鄉,大埔路-大隱國小附近,10,裡地,透天住宅,鋼筋混凝土造,０７００１,096年07月,2,全,甲種建築用地,27.53,24.27,200,8.24
宜蘭縣,三星鄉,大埔路-大隱國小附近,10,裡地,廠辦,磚造,０６３０４,096年07月,1,全,丁種建築用地,527.86,222.11,1365,6.15
宜蘭縣,三星鄉,大埔路-大隱國小附近,10,裡地,透天住宅,鋼筋混凝土造,０８５０４,097年04月,3,全,甲種建築用地,28.43,51.52,310,6.02
宜蘭縣,三星鄉,大埔路-大隱國小附近,11,臨街地,透天住宅,加強磚造,０７００１,098年04月,2,全,甲種建築用地,26.92,27.79,250,9.00
宜蘭縣,三星鄉,大埔路-大隱國小附近,10,裡地,透天住宅,加強磚造,０７００９,098年04月,2,全,乙種建築用地,32.67,34.26,190,5.55
宜蘭縣,三星鄉,大埔路-享志水泥附近,10,裡地,透天住宅,加強磚造,０７００５,095年01月,2,全,乙種建築用地,36.30,34.86,260,7.46
宜蘭縣,三星鄉,大埔路-宜49線與宜46線之間,10,臨街地,透天住宅,鋼筋混凝土造,０８４０９,099年01月,5,全,甲種建築用地,24.80,63.33,320,5.05
宜蘭縣,三星鄉,大埔路-東興工業附近,10,裡地,透天住宅,鋼筋混凝土加強磚造,０７０１２,094年07月,2,全,甲種建築用地,25.11,32.67,180,5.51
宜蘭縣,三星鄉,大埔路-東興工業附近,10,裡地,透天住宅,加強磚造,０７０１２,095年01月,2,全,甲種建築用地,25.71,32.83,180,5.48
宜蘭縣,三星鄉,大埔路-東興工業附近,10,裡地,透天住宅,鋼筋混凝土造,０７０１２,096年04月,2,全,甲種建築用地,24.20,30.81,280,9.09
宜蘭縣,三星鄉,大埔路-東興工業附近,10,裡地,透天住宅,加強磚造,０７０１２,096年12月,2,全,甲種建築用地,37.81,29.63,210,7.09
宜蘭縣,三星鄉,大埔路-東興工業附近,12,裡地,透天住宅,鋼筋混凝土造,０８４０９,097年01月,5,全,甲種建築用地,37.06,65.92,380,5.76
宜蘭縣,三星鄉,大埔路-東興科技(股)附近,10,裡地,透天住宅,加強磚造,０７０１２,097年12月,2,全,甲種建築用地,28.74,31.48,265,8.42
宜蘭縣,三星鄉,大義路-萬富國小以東,5,臨街地,透天住宅,鋼筋混凝土造,１０１０１,101年04月,4,全,甲種建築用地,34.05,85.48,763,8.93
宜蘭縣,三星鄉,大隱十三路-大埔二路與大埔三路間,7,臨街地,透天住宅,鋼筋混凝土造,０８５０８,101年01月,5,全,甲種建築用地,10.08,49.08,275,5.60
宜蘭縣,三星鄉,中山路-三星國中附近,13,臨街地,透天住宅,加強磚造,０６１０１,096年04月,1,全,農業區,23.27,19.90,135,6.78
宜蘭縣,三星鄉,中興路-大洲國小附近,7,裡地,農舍,鋼筋混凝土造,０９７０９,098年01月,2,全,農牧用地,384.48,86.29,1000,11.59
