town,address,land_area,object_num,building_area,n_bed,n_hall,n_bath,price,unitprice,main_area,aux_area,balcony_area,trans_num,year,month,dist_to四城,dist_to宜蘭,dist_to縣政中心,dist_to羅東,percent_aux,percent_balcony,n_story,n_material,n_urb_zoning,d_urban,d_elevator,completion_year,age,d_presale,d_comp,d_manager,d_spec_rel,d_presale_2,d_notreg,d_hotspring,d_leak,d_reno,closest_station,min_dist
五結鄉,宜蘭縣五結鄉孝威路３３３巷９號,107.93,土地3建物1車位0,182.43,4,3,3,9000000.0,49334.0,169.09,0.0,13.34,,2022,12,14608,12338,8568,5998,0.0,7.31,3.0,rc,,0,0.0,2016.0,6.0,0,1,0,0,0,0,0,0,0,羅東,5998
宜蘭市,宜蘭縣宜蘭市女中路三段５８１號,87.62,土地1建物1車位0,257.08,5,3,4,15800000.0,61459.0,216.0,13.99,27.09,,2022,12,5822,3156,5548,10613,5.4399999999999995,10.54,4.0,rc,res,1,0.0,1999.0,23.0,0,1,0,0,0,0,0,0,0,宜蘭,3156
冬山鄉,宜蘭縣冬山鄉永興路二段９１巷１弄５２之１２號,145.54,土地3建物1車位0,176.94,4,2,5,11000000.0,62168.0,162.12,0.0,14.82,128.0,2022,12,16533,12803,9392,5216,0.0,8.38,3.0,rc,,0,0.0,2016.0,6.0,0,1,0,0,0,0,0,0,0,羅東,5216
三星鄉,宜蘭縣三星鄉大坑三路８８號,143.5,土地1建物1車位0,159.27,4,2,3,6900000.0,43323.0,159.27,0.0,0.0,129.0,2022,12,21539,16472,14398,10164,0.0,0.0,3.0,rc,,0,0.0,1992.0,30.0,0,1,0,0,0,0,0,0,0,羅東,10164
三星鄉,宜蘭縣三星鄉上將路一段３３巷３８弄２５號,70.65,土地5建物1車位0,162.28,3,2,4,9150000.0,56384.0,146.73,0.0,15.55,135.0,2022,12,12162,8431,5021,4429,0.0,9.58,3.0,rc,,0,0.0,2022.0,0.0,0,1,0,0,0,0,0,0,0,羅東,4429
五結鄉,宜蘭縣五結鄉隆昌路５６號,89.11,土地1建物1車位0,85.32,3,1,1,3300000.0,38678.0,85.32,0.0,0.0,,2022,12,11678,7947,4537,1972,0.0,0.0,2.0,enf_brick,res,1,0.0,1974.0,48.0,0,1,0,1,0,0,0,0,0,羅東,1972
冬山鄉,宜蘭縣冬山鄉冬山路三段３０１巷５１弄２號,85.94,土地3建物1車位0,279.11,6,2,7,15200000.0,54459.0,245.83,2.35,24.87,,2022,12,18063,12374,8964,2987,0.84,8.91,4.0,rc,,0,1.0,2016.0,6.0,0,1,0,0,0,0,1,0,0,羅東,2987
蘇澳鎮,宜蘭縣蘇澳鎮頂興路１５６號,73.07,土地1建物1車位0,166.48,4,2,3,7300000.0,43849.0,144.25,0.0,22.23,143.0,2022,12,19657,23609,15062,8790,0.0,13.350000000000001,3.0,rc,,0,0.0,2014.0,8.0,0,1,0,0,0,0,0,0,0,羅東,8790
壯圍鄉,宜蘭縣壯圍鄉新社路６８之３號,117.0,土地1建物1車位0,157.41,4,2,2,5900000.0,37482.0,133.14,14.9,9.37,,2022,12,6037,6838,9607,15902,9.47,5.949999999999999,2.0,enf_brick,,0,0.0,1994.0,28.0,0,1,0,0,0,0,0,0,0,四城,6037
員山鄉,宜蘭縣員山鄉文化路１００巷５８號,108.0,土地2建物1車位0,200.95,4,1,5,12240000.0,60911.0,188.65,0.0,12.3,,2022,12,7333,3876,6639,12028,0.0,6.12,3.0,rc,res,1,0.0,2022.0,0.0,0,1,0,0,1,0,0,0,0,宜蘭,3876
員山鄉,宜蘭縣員山鄉文化路１００巷６２弄６號,106.79,土地2建物1車位0,203.34,4,1,5,11830000.0,58178.0,189.9,0.0,13.44,,2022,12,7333,3876,6639,12028,0.0,6.61,3.0,rc,res,1,0.0,2022.0,0.0,0,1,0,0,1,0,0,0,0,宜蘭,3876
員山鄉,宜蘭縣員山鄉文化路１００巷５６號,104.68,土地2建物1車位0,209.51,4,1,5,11700000.0,55845.0,199.67,0.0,9.84,,2022,12,7333,3876,6639,12028,0.0,4.7,3.0,rc,res,1,0.0,2022.0,0.0,0,1,0,0,1,0,0,0,0,宜蘭,3876
