town,address,land_area,urb_zoning,nurb_zoning,nurb_land,date,object_num,story,material,completion_date,building_area,n_bed,n_hall,n_bath,d_comp,d_manager,price,unitprice,note,serialnumber,main_area,aux_area,balcony_area,d_elevator,trans_num,year,month,place_id,dist_to四城,dist_to宜蘭,dist_to縣政中心,dist_to羅東,dur_to四城,dur_to宜蘭,dur_to縣政中心,dur_to羅東
宜蘭市,宜蘭縣宜蘭市農權路三段２７巷７號,131.28,都市：其他:住宅區,,,1111104,土地1建物1車位0,三層,鋼筋混凝土造,1070321.0,289.75,3,2,5,有,無,25000000.0,86281.0,,RPPOMLSKJIHGFBG97DA,265.71,0.0,24.04,有,,2022,11,EkROby4gMjcsIFNlY3Rpb24gMywgTm9uZ3F1YW4gUmQsIFlpbGFuIENpdHksIFlpbGFuIENvdW50eSwgVGFpd2FuIDI2MCIwEi4KFAoSCcNrfSuV5Gc0EcMBD-IJzlbgEBsqFAoSCc9SBgWV5Gc0ERs2IbeaR1Rg,5793,2177,5140,10205,875,434,654,1370
宜蘭市,宜蘭縣宜蘭市同興街１４６號,36.53,都市：其他:商業區,,,1111101,土地1建物1車位0,二層,鋼筋混凝土加強磚造,,72.23,3,2,3,有,無,3500000.0,48456.0,親友、員工、共有人或其他特殊關係間之交易；頂樓加蓋；,RPPPMLLLJIHGFBG47DA,72.23,0.0,0.0,無,,2022,11,ChIJN2Lv-9HkZzQRypxM56IRi_c,2809,1283,7710,12482,438,325,852,1543
員山鄉,宜蘭縣員山鄉大安路９２之２８號,115.66,,特定農業區,甲種建築用地,1111105,土地1建物1車位0,三層,鋼筋混凝土造,860103.0,190.53,5,2,4,有,無,7500000.0,39364.0,壹樓空地；目前屋況有壁癌 滲漏水情形，賣方已由總價中折讓部分價款給買方作為補貼。陽台外推；頂樓加蓋；其他增建；,RPWNMLNLJIHGFBG18DA,176.43,3.97,10.13,無,,2022,11,ChIJAflWaZ_jZzQRiGeuqAV0Mvc,10359,8331,8304,11486,1189,1082,879,1433
三星鄉,宜蘭縣三星鄉健富路二段３４６巷８號,89.0,,特定農業區,甲種建築用地,1111102,土地2建物1車位0,三層,鋼筋混凝土造,1110722.0,160.33,4,2,5,有,無,8080000.0,50396.0,,RPUNMLOLJIHGFAG97DA,145.77,0.0,14.56,無,,2022,11,ChIJ4yeJZBHhZzQR9PyeJmp7ey4,19973,14889,12832,10517,1914,1596,1221,1268
員山鄉,宜蘭縣員山鄉員山路一段３６０號,101.15,都市：其他:住宅區,,,1111115,土地2建物1車位0,三層,鋼筋混凝土造,1110714.0,203.51,2,5,3,有,無,22000000.0,108103.0,其他增建:電梯其他增建；,RPRNMLSLJIHGFBG18DA,189.99,0.0,13.52,有,,2022,11,ChIJF6amq4PkZzQRizePLMUguSM,6814,4107,6240,11088,1009,797,613,1330
員山鄉,宜蘭縣員山鄉員山路一段３５８號,81.46,都市：其他:住宅區,,,1111115,土地1建物1車位0,三層,鋼筋混凝土造,1110714.0,181.72,2,5,3,有,無,20000000.0,110059.0,,RPSNMLSLJIHGFBG28DA,166.93,0.0,14.79,無,,2022,11,ChIJt8qtq4PkZzQRnBluVPit8go,6810,4103,6244,11092,1009,796,613,1331
冬山鄉,宜蘭縣冬山鄉永興路二段７１２號,120.49,,特定農業區,甲種建築用地,1111106,土地3建物1車位0,四層,鋼筋混凝土造,1061023.0,274.94,4,2,5,有,無,17680000.0,64305.0,,RPTQMLOLJIHGFAG18DA,243.8,0.0,31.14,有,,2022,11,EkxOby4gNzEyLCBTZWN0aW9uIDIsIFlvbmd4aW5nIFJkLCBEb25nc2hhbiBUb3duc2hpcCwgWWlsYW4gQ291bnR5LCBUYWl3YW4gMjY5IjESLwoUChIJubM_c5PmZzQR-ItA2n6KGfAQyAUqFAoSCYWqJyjz5mc0Eb7d7fvngBB8,16617,12887,9476,3980,1629,1412,936,739
羅東鎮,宜蘭縣羅東鎮復興路三段１８９巷８弄１０號,95.31,,鄉村區,乙種建築用地,1111105,土地2建物1車位0,三層,鋼筋混凝土造,1050527.0,203.57,2,2,4,有,無,13300000.0,65334.0,三樓鐵皮增建其他增建；,RPQNMLPLJIHGFAG67DA,189.51,0.0,14.06,無,18.0,2022,11,ElFOby4gOCwgTGFuZSAxODksIFNlY3Rpb24gMywgRnV4aW5nIFJkLCBMdW9kb25nIFRvd25zaGlwLCBZaWxhbiBDb3VudHksIFRhaXdhbiAyNjUiMBIuChQKEgnRtXcZMuRnNBFnR4wEybM5ZBAIKhQKEglTJgsYMuRnNBEXv2j6jN9u8g,11697,7966,4556,2752,1218,1002,526,532
蘇澳鎮,宜蘭縣蘇澳鎮隆恩路２４之４號,122.61,,特定農業區,甲種建築用地,1111101,土地1建物1車位0,三層,鋼筋混凝土造,840128.0,184.29,3,4,4,有,無,5000000.0,27131.0,其他增建：一樓其他增建；,RPOPMLPKJIHGFAG57DA,162.41,21.88,0.0,無,,2022,11,EjtOby4gMjQsIExvbmdlbiBSZCwgU3UnYW8gVG93bnNoaXAsIFlpbGFuIENvdW50eSwgVGFpd2FuIDI3MCIwEi4KFAoSCeVOyUOX6Gc0ETd0-xX1wOSTEBgqFAoSCb2sDw-Y6Gc0EaSx1_qwNPmQ,20576,18307,14141,8678,1589,1570,1274,901
員山鄉,宜蘭縣員山鄉深蓁路１０８巷１８號,146.24,,特定農業區,甲種建築用地,1111109,土地2建物1車位0,四層,鋼筋混凝土造,1110110.0,251.99,4,3,3,有,有,14450000.0,57344.0,,RPUNMLSLJIHGFBG48DA,222.96,0.0,28.55,無,,2022,11,ChIJ2zSDQonjZzQRnuYQZlbRZYY,9668,6596,6286,8677,1292,908,675,1139
