town,address,land_area,urb_zoning,nurb_zoning,nurb_land,date,object_num,story,material,completion_date,building_area,n_bed,n_hall,n_bath,d_comp,d_manager,price,unitprice,note,serialnumber,main_area,aux_area,balcony_area,d_elevator,trans_num,year,month,lat,lng
宜蘭市,宜蘭縣宜蘭市農權路三段２７巷７號,131.28,都市：其他:住宅區,,,1111104,土地1建物1車位0,三層,鋼筋混凝土造,1070321.0,289.75,3,2,5,有,無,25000000.0,86281.0,,RPPOMLSKJIHGFBG97DA,265.71,0.0,24.04,有,,2022,11,24.7486474,121.7423305
宜蘭市,宜蘭縣宜蘭市同興街１４６號,36.53,都市：其他:商業區,,,1111101,土地1建物1車位0,二層,鋼筋混凝土加強磚造,,72.23,3,2,3,有,無,3500000.0,48456.0,親友、員工、共有人或其他特殊關係間之交易；頂樓加蓋；,RPPPMLLLJIHGFBG47DA,72.23,0.0,0.0,無,,2022,11,24.7639498,121.7541585
員山鄉,宜蘭縣員山鄉大安路９２之２８號,115.66,,特定農業區,甲種建築用地,1111105,土地1建物1車位0,三層,鋼筋混凝土造,860103.0,190.53,5,2,4,有,無,7500000.0,39364.0,壹樓空地；目前屋況有壁癌 滲漏水情形，賣方已由總價中折讓部分價款給買方作為補貼。陽台外推；頂樓加蓋；其他增建；,RPWNMLNLJIHGFBG18DA,176.43,3.97,10.13,無,,2022,11,24.7366205,121.6980019
三星鄉,宜蘭縣三星鄉健富路二段３４６巷８號,89.0,,特定農業區,甲種建築用地,1111102,土地2建物1車位0,三層,鋼筋混凝土造,1110722.0,160.33,4,2,5,有,無,8080000.0,50396.0,,RPUNMLOLJIHGFAG97DA,145.77,0.0,14.56,無,,2022,11,24.6732255,121.6882418
員山鄉,宜蘭縣員山鄉員山路一段３６０號,101.15,都市：其他:住宅區,,,1111115,土地2建物1車位0,三層,鋼筋混凝土造,1110714.0,203.51,2,5,3,有,無,22000000.0,108103.0,其他增建:電梯其他增建；,RPRNMLSLJIHGFBG18DA,189.99,0.0,13.52,有,,2022,11,24.7423648,121.7225951
員山鄉,宜蘭縣員山鄉員山路一段３５８號,81.46,都市：其他:住宅區,,,1111115,土地1建物1車位0,三層,鋼筋混凝土造,1110714.0,181.72,2,5,3,有,無,20000000.0,110059.0,,RPSNMLSLJIHGFBG28DA,166.93,0.0,14.79,無,,2022,11,24.7424054,121.7226075
冬山鄉,宜蘭縣冬山鄉永興路二段７１２號,120.49,,特定農業區,甲種建築用地,1111106,土地3建物1車位0,四層,鋼筋混凝土造,1061023.0,274.94,4,2,5,有,無,17680000.0,64305.0,,RPTQMLOLJIHGFAG18DA,243.8,0.0,31.14,有,,2022,11,24.6671021,121.7495236
羅東鎮,宜蘭縣羅東鎮復興路三段１８９巷８弄１０號,95.31,,鄉村區,乙種建築用地,1111105,土地2建物1車位0,三層,鋼筋混凝土造,1050527.0,203.57,2,2,4,有,無,13300000.0,65334.0,三樓鐵皮增建其他增建；,RPQNMLPLJIHGFAG67DA,189.51,0.0,14.06,無,18.0,2022,11,24.694984,121.7600723
蘇澳鎮,宜蘭縣蘇澳鎮隆恩路２４之４號,122.61,,特定農業區,甲種建築用地,1111101,土地1建物1車位0,三層,鋼筋混凝土造,840128.0,184.29,3,4,4,有,無,5000000.0,27131.0,其他增建：一樓其他增建；,RPOPMLPKJIHGFAG57DA,162.41,21.88,0.0,無,,2022,11,24.6405158,121.8241468
員山鄉,宜蘭縣員山鄉深蓁路１０８巷１８號,146.24,,特定農業區,甲種建築用地,1111109,土地2建物1車位0,四層,鋼筋混凝土造,1110110.0,251.99,4,3,3,有,有,14450000.0,57344.0,,RPUNMLSLJIHGFBG48DA,222.96,0.0,28.55,無,,2022,11,24.721247,121.715255
宜蘭市,宜蘭縣宜蘭市力行路２６巷５號,81.81,都市：其他:住宅區,,,1111117,土地1建物1車位0,二層,鋼筋混凝土造,680611.0,93.16,3,2,2,有,無,4000000.0,42937.0,,RPUOMLRKJIHGFBG38DA,93.16,0.0,0.0,無,,2022,11,24.7626799,121.7594154
宜蘭市,宜蘭縣宜蘭市慈安路７０巷１弄１６號,75.2,都市：其他:住宅區,,,1111105,土地2建物1車位0,二層,鋼筋混凝土加強磚造,670424.0,83.16,0,0,2,有,無,4950000.0,59524.0,一樓後方空地增建其他增建；,RPUNMLQKJIHGFBG18DA,83.16,0.0,0.0,無,35.0,2022,11,24.7596705,121.7645242
礁溪鄉,宜蘭縣礁溪鄉玉民路二段３０１巷３３號,83.41,都市：其他:農業區,,,1111104,土地1建物1車位0,三層,鋼筋混凝土造,1101108.0,170.77,4,2,5,有,無,14360000.0,84090.0,,RPROMLMJKIHGFBG67EA,170.77,0.0,0.0,有,,2022,11,24.8075493,121.7702765
礁溪鄉,宜蘭縣礁溪鄉玉民路二段３０１巷３０號,89.85,都市：其他:農業區,,,1111118,土地1建物1車位0,三層,鋼筋混凝土造,1101108.0,200.62,5,2,4,有,無,16860000.0,84039.0,,RPSOMLMJKIHGFBG77EA,178.15,0.0,22.47,有,,2022,11,24.8075493,121.7702765
礁溪鄉,宜蘭縣礁溪鄉玉民路二段３０１巷２７號,89.85,都市：其他:農業區,,,1111122,土地1建物1車位0,三層,鋼筋混凝土造,1101108.0,200.62,3,2,4,有,無,16850000.0,83990.0,,RPTOMLMJKIHGFBG87EA,178.15,0.0,22.47,有,,2022,11,24.8075493,121.7702765
五結鄉,宜蘭縣五結鄉大吉二路２７７巷１８號,93.5,,一般農業區,甲種建築用地,1111114,土地2建物1車位0,三層,鋼筋混凝土造,1040904.0,173.87,4,2,3,有,無,10700000.0,61540.0,,RPQOMLQJKIHGFAG87EA,158.24,0.0,15.63,無,40.0,2022,11,24.6945141,121.8019299
冬山鄉,宜蘭縣冬山鄉義成路三段１９２巷１號,104.44,都市：其他:住宅區,,,1111102,土地1建物1車位0,二層,鋼筋混凝土加強磚造,670729.0,108.42,4,2,3,有,無,5500000.0,50729.0,其他增建：一樓空地頂樓加蓋；其他增建；,RPPOMLPJKIHGFAG57DA,108.42,0.0,0.0,無,,2022,11,24.6595503,121.7658619
三星鄉,宜蘭縣三星鄉集慶三路４６號,88.99,都市：其他:住宅區,,,1111110,土地1建物1車位0,二層,鐵筋加強磚造,701007.0,99.51,4,1,2,有,無,3560000.0,35775.0,增建部分:1樓、頂樓其他增建；,RPSNMLRJKIHGFAG97DA,99.51,0.0,0.0,無,,2022,11,24.6744894,121.662532
