town,address,land_area,urb_zoning,nurb_zoning,nurb_land,date,object_num,story,material,completion_date,building_area,n_bed,n_hall,n_bath,d_comp,d_manager,price,unitprice,note,serialnumber,main_area,aux_area,balcony_area,d_elevator,trans_num,year,month
"五結鄉","宜蘭縣五結鄉孝威路３３３巷９號",107.93,"","鄉村區","乙種建築用地",1111202,"土地3建物1車位0","三層","鋼筋混凝土造","1050829",182.43,"4","3","3","有","無",9000000,49334,"","RPQOMLOKKIHGFAG67DA",169.09,0,13.34,"無","",2022,12
"宜蘭市","宜蘭縣宜蘭市女中路三段５８１號",87.62,"住","","",1111201,"土地1建物1車位0","四層","鋼筋混凝土造","0880127",257.08,"5","3","4","有","無",15800000,61459,"其他增建:1-3樓後方其他增建；","RPQRMLOKKIHGFBG08DA",216,13.99,27.09,"無","",2022,12
"冬山鄉","宜蘭縣冬山鄉永興路二段９１巷１弄５２之１２號",145.54,"","特定農業區","甲種建築用地",1111206,"土地3建物1車位0","三層","鋼筋混凝土造","1050627",176.94,"4","2","5","有","無",11000000,62168,"","RPUOMLPKKIHGFAG18DA",162.12,0,14.82,"無","0128",2022,12
"三星鄉","宜蘭縣三星鄉大坑三路８８號",143.5,"","特定農業區","甲種建築用地",1111203,"土地1建物1車位0","三層","鋼筋混凝土造","0810730",159.27,"4","2","3","有","無",6900000,43323,"其他增建；","RPVOMLPKKIHGFAG28DA",159.27,0,0,"無","0129",2022,12
"三星鄉","宜蘭縣三星鄉上將路一段３３巷３８弄２５號",70.65,"","特定農業區","甲種建築用地",1111201,"土地5建物1車位0","三層","鋼筋混凝土造","1110805",162.28,"3","2","4","有","無",9150000,56384,"","RPUOMLKLKIHGFAG87EA",146.73,0,15.55,"無","0135",2022,12
"五結鄉","宜蘭縣五結鄉隆昌路５６號",89.11,"住","","",1111212,"土地1建物1車位0","二層","鋼筋混凝土加強磚造","0630404",85.32,"3","1","1","有","無",3300000,38678,"親屬間之交易母女親友、員工、共有人或其他特殊關係間之交易；","RPUNMLQLKIHGFAG38EA",85.32,0,0,"無","",2022,12
"冬山鄉","宜蘭縣冬山鄉冬山路三段３０１巷５１弄２號",85.94,"","特定農業區","甲種建築用地",1111207,"土地3建物1車位0","四層","鋼筋混凝土造","1051207",279.11,"6","2","7","有","無",15200000,54459,"溫泉宅，附設露天湯池2座","RPWNMLQLKIHGFAG58EA",245.83,2.35,24.87,"有","",2022,12
"蘇澳鎮","宜蘭縣蘇澳鎮頂興路１５６號",73.07,"","工業區","丁種建築用地",1111205,"土地1建物1車位0","三層","鋼筋混凝土造","1030303",166.48,"4","2","3","有","無",7300000,43849,"","RPUOMLMLKIHGFAG97DA",144.25,0,22.23,"無","0143",2022,12
"壯圍鄉","宜蘭縣壯圍鄉新社路６８之３號",117,"","一般農業區","甲種建築用地",1111205,"土地1建物1車位0","二層","鋼筋混凝土加強磚造","0830217",157.41,"4","2","2","有","無",5900000,37482,"含土地增值稅或其他稅費96256元；含地政士服務費7000元；","RPRPMLRLKIHGFBG48EA",133.14,14.9,9.37,"無","",2022,12
"員山鄉","宜蘭縣員山鄉文化路１００巷５８號",108,"住","","",1111205,"土地2建物1車位0","三層","鋼筋混凝土造","1111103",200.95,"4","1","5","有","無",12240000,60911,"預售屋、或土地及建物分件登記案件；","RPQNMLRLKIHGFBG08DA",188.65,0,12.3,"無","",2022,12
"員山鄉","宜蘭縣員山鄉文化路１００巷６２弄６號",106.79,"住","","",1111206,"土地2建物1車位0","三層","鋼筋混凝土造","1111103",203.34,"4","1","5","有","無",11830000,58178,"預售屋、或土地及建物分件登記案件；","RPPOMLRLKIHGFBG08DA",189.9,0,13.44,"無","",2022,12
"員山鄉","宜蘭縣員山鄉文化路１００巷５６號",104.68,"住","","",1111206,"土地2建物1車位0","三層","鋼筋混凝土造","1111103",209.51,"4","1","5","有","無",11700000,55845,"預售屋、或土地及建物分件登記案件；","RPXOMLRLKIHGFBG88DA",199.67,0,9.84,"無","",2022,12
"冬山鄉","宜蘭縣冬山鄉寶和路１７６巷８號",92.75,"","特定農業區","甲種建築用地",1111206,"土地2建物1車位0","三層","鋼筋混凝土造","1040709",173.34,"4","2","4","有","無",6500000,37499,"","RPTPMLLLKIHGFAG87DA",158.73,0,14.61,"無","0148",2022,12
"冬山鄉","宜蘭縣冬山鄉鹿安路宏泰巷５８號；鹿安路宏泰巷６０號；鹿安路宏泰巷６２號",656.42,"住","","",1111201,"土地2建物2車位0","二層","鋼筋混凝土加強磚造","0711030",641.4,"10","5","5","有","無",16900000,26349,"頂樓加蓋；未登記建物；未登記建物；","RPVNMLQLKIHGFAG38DA",641.4,0,0,"無","",2022,12
"冬山鄉","宜蘭縣冬山鄉清溝路３３３巷８號",87.47,"農","","",1111201,"土地1建物1車位0","二層","鋼筋混凝土加強磚造","0710226",85.58,"2","1","1","有","無",3100000,36223,"頂樓加蓋；未登記建物；","SPVNMLQLKIHGFAG48DA",85.58,0,0,"無","0149",2022,12
"冬山鄉","宜蘭縣冬山鄉永興路二段９１巷１弄５０之１６號",144.24,"","特定農業區","甲種建築用地",1111218,"土地4建物1車位0","三層","鋼筋混凝土造","1050627",177.06,"4","2","4","有","無",13000000,73421,"","RPSNMLRLKIHGFAG18DA",165.21,0,11.85,"無","0152",2022,12
"礁溪鄉","宜蘭縣礁溪鄉踏踏三路６８巷５號",106.39,"","特定農業區","甲種建築用地",1111204,"土地3建物1車位0","三層","鋼筋混凝土造","1020905",167.54,"4","2","3","有","無",10500000,62672,"增建:一樓前後陽台，2.3樓前面陽台。其他增建；","RPVNMLTLKIHGFBG78DA",150.86,2.36,14.32,"無","0154",2022,12
"壯圍鄉","宜蘭縣壯圍鄉大福路三段９６巷８號",145.85,"","特定農業區","甲種建築用地",1111204,"土地4建物1車位0","三層","鋼筋混凝土造","1041023",243.45,"4","2","4","有","無",13000000,53399,"壹樓空地其他增建；","RPQOMLTLKIHGFBG38DA",226.5,0,16.95,"有","0155",2022,12
"宜蘭市","宜蘭縣宜蘭市力行路２２號",81.05,"住","","",1111207,"土地1建物1車位0","二層","鋼筋混凝土造","0680608",100.82,"2","2","2","有","無",8400000,83317,"其他增建；","RPOOMLTJKIHGFBG97DA",100.82,0,0,"無","0158",2022,12
